K10170	ko04613 ko04620 ko05171
K14699	ko02010
K10698	ko04120 ko05012 ko05022
K01724	ko00790
K16383	ko01052
K20932	ko00910
K05696	ko04520 ko04910 ko04931
K04482	ko03440 ko03460 ko05200 ko05212
K11583	ko03015 ko04071 ko04151 ko04152 ko04261 ko04728 ko05165
K03249	ko03013
K04306	ko04080 ko04926
K01433	ko00630 ko00670
K18022	ko00030
K17202	ko02010
K07410	ko00140 ko00380 ko00980 ko04913 ko05204 ko05206
K20320	ko01501
K18311	ko00250
K11030	ko04621
K12400	ko04142
K00917	ko00052
K08927	ko02020
K02132	ko00190 ko04714 ko05010 ko05012 ko05014 ko05016 ko05020 ko05022 ko05415
K09845	ko00906
K08233	ko00901
K19320	ko01501
K16950	ko00920
K01502	ko00643
K13262	ko00943
K07416	ko00980
K12670	ko00510 ko00513 ko04141
K06592	ko04514 ko04520
K09444	ko04625 ko04668 ko04917 ko05133 ko05165
K03028	ko03050 ko05010 ko05012 ko05014 ko05016 ko05017 ko05020 ko05022 ko05169
K17319	ko02010
K05112	ko04360
K13545	ko00860
K20963	ko05111
K15628	ko02010 ko04146
K16194	ko04141 ko05160 ko05162 ko05168
K15622	ko05202
K14294	ko03013 ko03015
K03371	ko00601 ko00603 ko00604
K04701	ko04630 ko04917
K15990	ko00522 ko01052
K00788	ko00730
K15761	ko00623
K02830	ko04111 ko04113 ko04218
K09593	ko01521 ko04012 ko04014 ko04072 ko04722 ko05100 ko05205 ko05211 ko05225 ko05226
K04122	ko00904
K03248	ko03013
K11260	ko00680
K02412	ko02040
K08199	ko05231
K03350	ko04110 ko04111 ko04113 ko04114 ko04120 ko04914 ko05166
K06354	ko02024
K06844	ko04360
K08846	ko04621 ko04722 ko05131 ko05132 ko05152
K00920	ko00562 ko04070 ko04810
K01708	ko00053
K05448	ko01521 ko04010 ko04014 ko04015 ko04020 ko04066 ko04151 ko04370 ko04510 ko04926 ko04933 ko05163 ko05165 ko05167 ko05200 ko05205 ko05206 ko05211 ko05212 ko05219 ko05323 ko05418
K05383	ko00196
K20590	ko00524
K02067	ko02010
K01270	ko00480
K05185	ko04080 ko04723 ko04727 ko05032 ko05033
K01783	ko00030 ko00040 ko00710
K14581	ko00624 ko00626 ko00627 ko00633 ko00642
K16428	ko01055
K01800	ko00350 ko00643
K15408	ko00190
K16618	ko03460
K10358	ko05130 ko05132
K00415	ko00190 ko04260 ko04714 ko04932 ko05010 ko05012 ko05014 ko05016 ko05020 ko05022 ko05415
K17005	ko05206
K01827	ko00350 ko04916
K02137	ko00190 ko04714 ko05010 ko05012 ko05014 ko05016 ko05020 ko05022 ko05415
K03135	ko03022
K05261	ko04080 ko04928 ko04961 ko05323
K18285	ko00130
K12389	ko04142
K02393	ko02040
K00187	ko00280
K01588	ko00230
K02453	ko03070 ko05111
K13924	ko02020 ko02030
K05857	ko00562 ko04020 ko04070 ko04919 ko04933 ko05131
K01315	ko04080 ko04610 ko05150 ko05164
K03157	ko04060 ko04064 ko05323
K11418	ko04613 ko05034 ko05203
K15372	ko00410 ko00430
K13136	ko03013
K03739	ko01503 ko02020 ko05150
K02611	ko00360
K03407	ko02020 ko02030
K03587	ko00550 ko01501
K10952	ko05110
K02866	ko03010 ko05171
K11826	ko04144 ko04721 ko04961 ko05016
K07835	ko04014 ko04015 ko04072 ko05200 ko05210 ko05212
K13699	ko04923
K12184	ko04144
K00274	ko00260 ko00330 ko00340 ko00350 ko00360 ko00380 ko00950 ko00982 ko04726 ko04728 ko05012 ko05030 ko05031 ko05034
K02114	ko00190 ko00195
K04708	ko00600
K18655	ko03013 ko03015
K03405	ko00860
K14754	ko05160 ko05162 ko05164 ko05165 ko05171
K14525	ko03008 ko03013
K07235	ko04122
K14410	ko00740 ko04142
K01666	ko00360 ko00362 ko00621 ko00622
K21164	ko01059
K18081	ko00562 ko04070
K15226	ko00400
K14545	ko03008
K19820	ko00760
K02233	ko00860
K03541	ko00195
K01638	ko00620 ko00630
K03942	ko00190 ko04714 ko04723 ko04932 ko05010 ko05012 ko05014 ko05016 ko05020 ko05022 ko05415
K01498	ko00740
K08499	ko04130
K03537	ko03008 ko03013
K06475	ko04640
K17719	ko00590 ko00591 ko00830 ko00980 ko00982 ko04726 ko05204
K20431	ko00525
K01665	ko00790
K10197	ko02010
K08533	ko04710
K02886	ko03010
K18800	ko00130
K02987	ko03010 ko05171
K15094	ko00902
K15998	ko00522
K09647	ko03060
K15013	ko00061 ko00071 ko03320 ko04920
K03230	ko03070
K16674	ko04391
K05408	ko04060 ko04061 ko04062 ko04620 ko05142 ko05163 ko05323
K01696	ko00260 ko00400
K02868	ko03010 ko05171
K12323	ko00230 ko04022 ko04024 ko04270 ko04714 ko04921 ko04923 ko04924 ko04925
K09834	ko00130
K09029	ko04380 ko04657 ko05030 ko05031 ko05034
K03198	ko03070
K03635	ko00790 ko04122
K17514	ko04625
K11532	ko00010 ko00030 ko00051 ko00680 ko00710
K12298	ko00100 ko00561 ko04972 ko04975
K00988	ko00230 ko00920
K02628	ko00196
K01442	ko00120 ko00121
K13979	ko00010 ko00561 ko00620
K10536	ko00330
K16622	ko04060 ko04350 ko04390 ko04714
K00048	ko00630 ko00640
K16651	ko00860
K09487	ko04141 ko04151 ko04626 ko04657 ko04915 ko04918 ko05132 ko05200 ko05215 ko05418
K20978	ko02020 ko02025
K06209	ko00400
K10030	ko04060 ko04061 ko04062 ko04064 ko04072 ko04218 ko04620 ko04621 ko04622 ko04657 ko04932 ko04933 ko05120 ko05130 ko05131 ko05132 ko05133 ko05134 ko05135 ko05142 ko05144 ko05146 ko05161 ko05163 ko05164 ko05167 ko05171 ko05200 ko05202 ko05219 ko05323
K04540	ko04014 ko04062 ko04151 ko04371 ko04713 ko04723 ko04724 ko04725 ko04726 ko04727 ko04728 ko04926 ko05032 ko05034 ko05163 ko05167 ko05170 ko05200
